No,Title,ISSN,E-ISSN,CATEGORY,Publisher,Address,Nation
7780832,2D MATERIALS,2053-1583,2053-1583,"Materials Science, Multidisciplinary",IOP PUBLISHING LTD,"TEMPLE CIRCUS, TEMPLE WAY, BRISTOL, ENGLAND, BS1 6BE",ENGLAND
7780833,3 BIOTECH,2190-572X,2190-5738,Biotechnology & Applied Microbiology,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",GERMANY
7780834,3D PRINTING AND ADDITIVE MANUFACTURING,2329-7662,2329-7670,"Engineering, Manufacturing ; Materials Science, Multidisciplinary","MARY ANN LIEBERT, INC","140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, USA, NY, 10801",USA
7780835,4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,1619-4500,1614-2411,Operations Research & Management Science,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",GERMANY
7780836,AAPG BULLETIN,0149-1423,1558-9153,"Geosciences, Multidisciplinary",AMER ASSOC PETROLEUM GEOLOGIST,"1444 S BOULDER AVE, PO BOX 979, TULSA, USA, OK, 74119-3604",USA
7780837,AAPS JOURNAL,1550-7416,1550-7416,Pharmacology & Pharmacy,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",USA
7780838,AAPS PHARMSCITECH,1530-9932,1530-9932,Pharmacology & Pharmacy,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",USA
7780839,AATCC JOURNAL OF RESEARCH,2472-3444,2330-5517,"Materials Science, Textiles",SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",USA
7780840,AATCC REVIEW,1532-8813,1532-8813,"Chemistry, Applied ; Engineering, Chemical ; Materials Science, Textiles",AMER ASSOC TEXTILE CHEMISTS COLORISTS-AATCC,"1 DAVID DR, PO BOX 12215, RES TRIANGLE PK, USA, NC, 27709",USA
7780841,ABDOMINAL RADIOLOGY,2366-004X,2366-0058,"Radiology, Nuclear Medicine & Medical Imaging",SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",USA
7780842,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,0025-5858,1865-8784,Mathematics,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",GERMANY
7780843,ACADEMIC EMERGENCY MEDICINE,1069-6563,1553-2712,Emergency Medicine,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA
